,Bayonetta,Bowser,Bowser Jr.,Captain Falcon,Chrom,Cloud,Corrin,Daisy,Dark Pit,Dark Samus,Diddy Kong,Donkey Kong,Dr. Mario,Duck Hunt,Falco,Fox,Ganondorf,Greninja,Ice Climbers,Ike,Incineroar,Inkling,Isabelle,Jigglypuff,Ken,King Dedede,King K. Rool,Kirby,Link,Little Mac,Lucario,Lucas,Lucina,Luigi,Mario,Marth,Mega Man,Meta Knight,Mewtwo,Mii Brawler,Mii Gunner,Mii Swordfighter,Mr. Game and Watch,Ness,Olimar,Pac Man,Palutena,Peach,Pichu,Pikachu,Piranha Plant,Pit,Pokemon Trainer,R.O.B.,Richter,Ridley,Robin,Rosalina,Roy,Ryu,Samus,Sheik,Shulk,Simon,Snake,Sonic,Toon Link,Villager,Wario,Wii Fit Trainer,Wolf,Yoshi,Young Link,Zelda,Zero Suit Samus
Marth,-1,0.231,1,-0.2,-,-0.182,0.333,1,-0.6,-1,-1,-0.75,0,-1,0.333,0,-0.273,0.429,-1,0,-0.333,-0.7,-1,0,-,-0.429,1,0,-0.357,1,1,0,-0.187,-1,-0.231,MM,-0.333,-0.375,-0.25,-1,-,1.333,-0.625,-0.6,-1,-1,-0.25,-1,-0.105,-0.667,0,0.167,-0.263,-0.6,-0.6,-0.444,1,1,-0.143,-,-0.4,1,-0.5,1,-0.389,0.143,-0.143,-0.2,-0.429,-1,-0.409,0.067,0,0.143,0
Mega Man,-,0.135,-1,0.5,-0.5,0.025,-0.2,0.25,0.6,-0.25,1,0.158,-1,-,0,0.043,0.211,-0.2,0.714,-0.2,1,-0.217,0.714,0.455,1,0.429,0,1,-0.077,0.667,-,0.182,0.406,0.429,0.167,0.333,MM,0.875,1,-,0.091,0.2,0.6,0.04,0.25,0.273,0.3,-0.385,0,-0.125,-0.077,0.2,0,0.5,0.143,-0.385,0,0.333,-0.294,-1,-0.5,-,-0.167,0.6,0,-0.143,-0.455,0.143,1,0.333,-0.396,0.147,0,-0.167,0.333
Meta Knight,-0.5,0.231,1,0.5,-1,0.5,0.5,-,0.333,0.143,1,-0.412,-0.294,1,1,0.222,0.182,0.111,-0.333,0.75,-0.333,0.2,1,1,-,-0.143,0.765,1,-0.25,-0.2,0,0.455,0.302,0,0.143,0.375,-0.875,MM,-,-0.143,-,0.333,0.286,0.286,0.2,-1,-0.471,0.333,0.111,-0.5,-0.167,-0.5,0.226,0.5,0,0.333,0,-,0.2,2,0.556,-,0.571,0.6,-0.121,0.143,-1,0.333,0.333,0.333,0.091,-0.138,-0.429,-0.15,-0.111
Mewtwo,0.2,-1,-1,-1,0.222,-0.667,-,-,-1,0.2,-,-0.286,-,0,-1,-0.2,-0.5,-0.5,-,-0.111,1,-0.4,1,0.333,1,-0.5,-0.2,-0.6,-0.5,-0.5,0.375,-0.5,0.154,0,-0.875,0.25,-1,-,MM,-,0.143,-,-1,-0.6,-1,-0.25,-0.25,0.333,-0.158,0,-1,-1,-0.304,-0.6,0.25,-0.25,-1,-,0,-,-1,-1,0,-,-0.929,0,-1,-,0,-0.333,-0.308,-0.25,-0.5,0.333,-1
Mii Brawler,-,-0.056,1,1,-,-0.333,-,1,1,-1,-,1,-0.333,-,-,0.2,-1,0.667,-,-0.429,-1,-0.455,-0.25,-1,-,-1,0.2,-1,0.111,-1,-,0,-0.667,-,0.429,1,-,0.143,-,MM,0,-0.2,0.333,-0.2,-0.333,-1,0.2,-1,-0.333,0.5,-1,-1,-0.294,-0.5,-0.333,0.5,0,-,0.333,-,1,1,-1,-0.333,0.333,-0.2,-0.333,1,-1,-,0.143,-0.111,1,-0.091,-1
Mii Gunner,1,1,-,-0.429,-1,-0.167,0.333,0.333,-,0,0,0.091,-0.5,1,-1,0,1,0,1,0,0.429,-0.222,1,-0.333,1,-0.091,1,-,-0.2,0.6,-,0.5,0.6,0.667,1,-,-0.091,-,-0.143,0,MM,0.333,0,-0.429,0.5,-0.111,0.667,-0.5,0.2,0.556,0,-,0.429,0,-0.6,0,-,-,0.25,1,0.2,-,0.333,-1,-0.333,-1,0.5,-1,-,-,0.077,0.25,0.111,-0.143,0
Mii Swordfighter,-1,0,-,0.2,0.333,-0.25,0,-,-0.333,0.167,1,-0.294,-0.5,0.714,0,-0.5,0,-0.308,-,0.273,0.25,-0.08,0.6,0.6,1,0.111,0.111,-0.6,-0.087,-0.2,0.5,-0.714,0.136,0.333,-0.111,-1.333,-0.2,-0.333,-,0.2,-0.333,MM,0,-0.059,-0.143,-0.5,-0.412,-0.6,-1,-0.2,-1,1,-0.273,1,-0.429,0.067,0.4,-,0.31,-0.333,0.111,-,-1,-0.143,-0.158,-0.455,-0.4,0.714,-0.333,1,-0.116,-0.267,-0.714,-0.2,0
Mr. Game and Watch,0.143,0.4,1,-0.231,0.333,-0.053,-1,-,0.333,0.429,-0.2,0,-0.4,-1,0.714,-0.833,0.182,0.455,1,0,-0.2,0.368,0,0,1,0.176,0.333,0.857,-0.103,0.429,-1.25,-0.286,0.286,-0.5,0.25,0.625,-0.6,-0.286,1,-0.333,0,0,MM,-0.273,0.053,1,0.111,-0.727,0.667,0.2,0,-0.143,0.4,0.026,0,-0.714,-0.714,0,-0.286,-,-1,-1,0,-0.667,-0.2,0.2,-0.538,0.2,0.2,0.429,-0.088,-0.4,0.5,-1,0.429
Ness,-0.143,-0.021,-0.467,0.333,-0.111,-0.04,0.6,0.087,0.231,-0.13,1,0.081,-0.6,-0.273,0.3,0.471,0.365,0.3,1,0,0.053,0,0.167,0,1,-0.036,0.175,0.294,-0.046,-0.241,0.444,0.101,0.042,-0.103,0.086,0.6,-0.04,-0.286,0.6,0.2,0.429,0.059,0.273,MM,-0.045,-0.478,0.137,0,0.264,0.625,0.36,-0.437,0.011,0.017,-0.348,-0.031,-0.2,0.2,0.149,1,0.167,0.2,-0.056,-0.273,-0.093,-0.391,-0.05,-0.3,-0.273,0.417,0.025,-0.042,0.083,-0.556,0
Olimar,1,-0.556,1,-0.2,-0.333,-0.25,-,-1,0.333,0.6,0,-0.429,0.5,-0.667,1,0.083,1.083,-0.647,0.333,0.077,-0.273,0.382,-0.333,0,1,0.111,-0.556,0.333,-0.2,-1,-,0.333,-0.054,-1,-0.095,1,-0.25,-0.2,1,0.333,-0.5,0.143,-0.053,0.045,MM,-0.25,-0.167,0.333,0.132,-0.556,0.6,0.455,-0.378,-0.429,-0.3,0.2,-1,-,0,0,0,1,-0.333,0.5,-0.193,-1,-0.5,0.143,0.667,1,0.105,-0.097,0.111,-0.286,0.4
